	Kingdom	Phylum	Class	Order	Family	Genus
ASV124	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Colwelliaceae	Thalassotalea
ASV125	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
ASV126	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NS11-12 marine group
ASV127	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae
ASV128	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Colwelliaceae	Thalassotalea
ASV129	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter
ASV130	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)
ASV131	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Tritonibacter
ASV132	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Castellaniella
ASV133	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Colwelliaceae	Thalassotalea
ASV134	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photobacterium
ASV135	Bacteria	Balneolota	Balneolia	Balneolales	Balneolaceae	Balneola
ASV136	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio
ASV137	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Qipengyuania
ASV138	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Parapusillimonas
